Accession,PC1,PC2
gootee,-160.46665653372904,-39.94626102694371
fairchild,-237.05258196538267,-86.33686723563495
kent,135.41927111659075,-224.9814610480516
hodson,158.40630099295387,22.573977708420255
mapuleha,18.621294901697524,111.32260175266299
manzanacolorada,96.53622454350892,275.4952537049511
goldenlippens,5.01640277166782,-88.1968316988607
neelum,22.978273442980754,199.02470482861457
okrongtong,-328.1554112377303,-68.30651457977127
zebda,-164.28175656333258,-38.90975583384094
bd19-21,56.29820085669171,-82.51289652037107
st.maui,-80.70209627129212,68.24189244205598
itamaraca,54.129638023841935,220.62252534953285
lathrop,-160.58913855650158,-39.91881225827235
step,122.96450938149559,177.66962172925142
joz,334.4868472646877,-202.01162117395222
vandyke,312.04964030334605,-51.26517287584662
tetenene,1.6105122007779094,169.11982338477475
no.3-3(irwinsdlgo.p.zerifinsel.),49.43114142985833,-34.21180372636222
jehangir,-74.6157268049029,22.94690480965647
o.p.tommyatkins,136.95768220747416,58.92400554656472
namdocmai,-331.9539179226567,-25.842924632263827
popijukalay,-253.94751277688812,5.671245553182421
smith(trec),297.8765866692847,-131.52339370354642
mulgoba,217.95987768629516,24.942513197838977
no.5-4(palmersdlgo.p.-zerifinsel.),-43.88846272655519,-122.09183185282504
allen-king-everbearing,123.20664745904037,17.787108342008633
merrittislandsaigon,3.9571229750213246,147.45878655250274
myatryaut,-62.56875333205806,184.3098957599157
o.p.keitt,-14.082655120377238,-82.29184934935721
o.ptommyatkins,210.14689257539732,2.123128823093018
zilate,309.79648879251755,-57.80964305505854
cushman,51.09808051178614,-174.27092868024062
shwehintha,5.338449623447216,195.5501635600479
spiritof76,159.55320745289168,-245.92773498054993
wa2-05-07,117.99978465258593,-174.6773367450819
sdlgofwa3-02-05,216.51956948849045,196.34155051673704
haden,357.79884402386404,-330.5455672367739
tenom,10.43039541363522,228.50998772814367
dot,-0.9463008224204313,79.4797120367907
sel.num3,56.528975137375156,271.2216367063208
