Accession ID,Subpopulation,fruitWeight (g),fruitLength (mm),fruitWidth (mm),fruitThickness (mm),stoneWeight (g),stoneLength (mm),stoneWidth (mm),stoneThickness (mm),seedWeight (g),seedLength (mm),seedWidth (mm),seedThickness (mm),brix,Pulp
okrong,SP1,186.058333333333,103.603333333333,56.5616666666666,50.15,23.1775,96.4566666666666,35.1004166666666,15.5791666666666,13.4904166666666,53.6725,29.6587499999999,13.20125,8.027541077913192,22.3958333333333
sensation,SP2 ,275.615833333333,89.570625,75.6875,70.7420833333333,27.2691666666666,68.2763888888888,39.25125,18.5989583333333,18.7939583333333,53.6820833333333,31.8954166666666,15.629375,10.10723344436636,16.18125
sigsiput,SP2 ,245.677777777777,88.8558823529411,70.3982352941176,64.4758823529411,27.1199999999999,67.2944444444444,35.8422222222222,18.4877777777777,16.5672222222222,53.6922222222222,27.3677777777777,15.1644444444444,9.05891510980007,15.7722222222222
tylerpremier,SP1 ,565.5375,92.2191666666666,108.36375,95.5808333333333,40.665,66.8916666666666,43.1333333333333,22.20625,21.1720833333333,53.7041666666666,32.9691666666666,18.1045833333333,13.907229804500185,13.7083333333333
maya,SP2 ,332.465909090909,83.7031818181818,82.7404545454545,73.9654545454545,31.395909090909,65.5827272727272,40.91,19.545,19.2318181818181,54.0431818181818,33.5918181818181,15.9613636363636,10.589465911887796,16.1954545454545
borshakampong,SP1,266.932083333333,84.8152173913043,80.1230434782608,68.5877272727272,30.2804166666666,65.4608333333333,37.3925,21.42375,17.8791666666666,54.2016666666666,30.5166666666666,17.3270833333333,8.815337195382064,15.9083333333333
s-01,SP2 ,266.693846153846,104.241923076923,75.4030769230769,66.8926923076923,38.281923076923,78.6557142857143,34.4230769230769,21.0638461538461,20.8484615384615,54.2853846153846,35.4080769230769,15.8115384615384,6.96657390011354,14.6246153846153
lily,SP2,582.758333333333,118.268333333333,92.27,90.0724999999999,30.5,96.7966666666666,47.6116666666666,16.2533333333333,16.75,54.3225,37.365,13.0575,19.106830601092884,13.975
madras,SP1 ,348.009583333333,95.4787499999999,79.4916666666666,74.15625,33.6658333333333,81.045,38.4991666666666,20.5195833333333,18.7579166666666,54.4879166666666,26.3375,16.8245833333333,10.337174187479889,14.8958333333333
17502,SP2 ,259.3355,90.532,73.0335,67.0385,25.865,67.26,37.2265,18.7865,16.122,54.497,29.0055,15.936,10.026502996327084,13.3609999999999
diplomatico,SP2 ,308.474615384615,111.774615384615,74.5492307692307,65.5153846153846,29.1746153846153,92.5046153846153,38.6407692307692,21.3684615384615,18.9545454545454,54.5227272727272,32.3163636363636,18.0036363636363,10.573390987950551,14.3846153846153
myatryaut,SP1 ,269.640625,95.4902083333333,72.4260416666666,66.9672916666666,28.8839583333333,75.2536111111111,36.9404166666666,19.828125,20.160625,54.8272916666666,29.2385416666666,16.9727083333333,9.335307227916314,13.74375
burma,SP1 ,237.92652173913,91.1247826086956,69.905652173913,62.6967391304347,26.8139130434782,72.1176086956521,38.4034782608695,18.5939130434782,18.491304347826,54.8941304347826,31.0871739130434,16.7860869565217,8.873248800103779,12.3978260869565
zill,SP2 ,376.151388888888,87.2838888888888,68.9177777777777,59.8602777777777,34.1177777777777,53.1754166666666,38.3025,19.1783333333333,17.5188888888888,54.915,28.5972222222222,14.1680555555555,11.02508467400508,16.2383333333333
langra,SP1 ,352.079583333333,99.0029166666666,81.6383333333333,74.2575,30.32875,82.4808333333333,40.3220833333333,19.705,17.5766666666666,54.9347826086956,31.1130434782608,15.715,11.60877330365851,19.9583333333333
shindiri,SP1 ,279.633333333333,110.168333333333,68.4475,65.0941666666666,28.875,89.9033333333333,33.3441666666666,19.3975,14.5416666666666,55.0183333333333,27.6433333333333,15.5258333333333,9.684271284271272,14.5916666666666
bd1-5,SP2 ,563.379318181818,119.834772727272,94.9404545454545,88.3427272727272,37.0443181818181,92.5034375,41.3429545454545,20.5945454545454,20.5802325581395,55.3731818181818,30.8661363636363,15.633409090909,15.208251786864658,14.6568181818181
o.p.keitt,SP1 ,636.971176470588,163.022666666666,87.735294117647,79.3405882352941,37.9340625,140.205454545454,47.7185294117647,17.480294117647,15.459375,55.4240625,27.7184375,14.4040625,16.791536009901076,17.8617647058823
zebda,SP1 ,332.326,90.823,68.298,53.541,34.2255,84.902,40.4415,21.217,16.6545,55.4455,27.5769999999999,16.192,9.709894669179414,15.285
borsha,SP1 ,319.357142857142,96.9871428571428,77.8721428571428,72.1057142857142,26.3857142857142,74.1221428571428,37.6085714285714,19.0185714285714,17.2785714285714,55.9578571428571,31.3778571428571,16.2721428571428,12.10341093665404,15.95
no.3-3(irwinsdlgo.p.zerifinsel.),SP2 ,507.528125,108.036666666666,89.9479166666666,74.845625,36.3373913043478,80.9239130434782,41.6321739130434,20.2508695652173,18.9855555555555,56.200652173913,29.410652173913,15.5160869565217,13.967104043026715,15.4872340425531
colombokidney,SP2 ,265.433333333333,94.23,72.9766666666666,65.3658333333333,25.625,67.08,33.2725,18.455,16.0833333333333,56.24,27.8008333333333,15.365,10.358373983739824,15.6749999999999
sunset,SP2 ,242.93375,95.4179166666666,74.75625,69.4775,24.8433333333333,72.02,36.3804166666666,17.0870833333333,16.76625,56.3429166666666,31.0891666666666,14.635,9.77862941097546,15.5583333333333
manilita,SP1 ,191.135833333333,100.09875,60.6779166666666,55.405,21.8408333333333,79.8452777777777,31.9989583333333,15.7954166666666,14.0012499999999,56.365625,26.820625,13.5027083333333,8.7513068030066,15.4104166666666
keitt,SP2,708.0,134.926818181818,103.63909090909,91.8054545454545,35.1731818181818,107.197499999999,52.3913636363636,18.0536363636363,16.415909090909,56.475,34.3513636363636,13.1218181818181,20.12897222832479,15.1136363636363
pamkaimia,SP1,202.614166666666,94.2004166666666,64.1958333333333,59.7958333333333,27.9408333333333,72.3541666666666,30.8208333333333,18.6770833333333,17.9170833333333,56.4754166666666,24.2766666666666,15.3620833333333,7.251543440007143,20.6375
long,SP2 ,168.750416666666,88.19625,64.69,55.4858333333333,31.2283333333333,65.8308333333333,37.0204166666666,23.4441666666666,19.3158333333333,56.53875,29.74,19.0345833333333,5.403759940225208,15.9458333333333
duncan,SP1 ,352.679545454545,106.688181818181,79.0181818181818,72.6318181818181,24.9240909090909,78.502,40.3322727272727,17.1740909090909,17.0923809523809,56.6261904761904,32.0466666666666,15.9257142857142,14.150146809403084,13.990909090909
ivory,SP1,350.666666666666,160.416666666666,68.6666666666666,61.75,28.625,139.720833333333,34.1141666666666,16.06,14.1833333333333,56.7066666666666,26.1533333333333,12.83,12.2503639010189,19.2416666666666
hatcher,SP2,673.87409090909,119.573636363636,98.2254545454545,85.9663636363636,32.7704545454545,91.1447619047619,49.9486363636363,17.2980952380952,19.7336363636363,56.7904761904761,33.4195238095238,12.55,20.563464872737363,13.3772727272727
thaieverbearing,SP1,138.687916666666,80.1560416666666,57.8722916666666,50.920625,27.6504166666666,66.4904166666666,32.0183333333333,17.5310416666666,17.2277272727272,56.825238095238,28.6522727272727,15.2497727272727,5.015762270007975,17.525
namtamteem,SP1,280.106857142857,104.600285714285,72.1637142857142,63.446,32.888,89.5008695652173,38.922,18.3348571428571,16.5948571428571,56.8894285714285,27.564,11.7722857142857,8.516992737255443,16.4551428571428
s-10,SP2 ,272.774722222222,98.9944444444444,67.6733333333333,63.4158333333333,28.3108333333333,74.5527777777777,31.0652777777777,19.0369444444444,17.3805555555555,56.9286111111111,26.5402777777777,16.9844444444444,9.634994456382032,15.6138888888888
madoe,SP1 ,264.537083333333,86.1066666666666,70.2914583333333,67.3664583333333,31.5578723404255,72.1317021276595,33.5425531914893,21.1761702127659,18.4951063829787,57.0002127659574,25.6191489361702,16.3710869565217,8.382601985320225,16.4510638297872
z-0,SP2,209.885833333333,92.5833333333333,70.0,59.8333333333333,26.6516666666666,,32.2975,19.4858333333333,17.0408333333333,57.0066666666666,25.8233333333333,16.5058333333333,7.875148521043094,19.55
edgehill,SP1,368.058333333333,114.291666666666,76.3158333333333,72.2375,32.5833333333333,92.5608333333333,36.6566666666666,19.5225,18.625,57.4383333333333,29.0224999999999,16.0183333333333,11.295907928388749,14.7666666666666
angie,SP1 ,343.958148148148,109.258888888888,80.7014814814814,70.2907407407407,19.5811111111111,89.9548148148148,43.4033333333333,15.1344444444444,11.7333333333333,57.5603703703703,30.1062962962962,12.1414814814814,17.565813614783714,15.2925925925925
paheri,SP1,309.7,92.3827272727272,80.72,71.985,30.3333333333333,71.4491666666666,36.8816666666666,20.1591666666666,18.2083333333333,57.7516666666666,31.4325,16.4575,10.20989010989012,16.0416666666666
zill0-29,SP2 ,371.055416666666,96.55,87.5066666666666,79.9541666666666,31.2179166666666,67.215,39.6879166666666,21.03875,20.6491666666666,57.8691666666666,32.1308333333333,17.1266666666666,11.88597626896948,16.5166666666666
cac,SP1 ,443.64375,114.489583333333,87.3741666666666,77.1233333333333,38.9920833333333,82.4120833333333,41.4766666666666,20.60125,20.0958333333333,57.8816666666666,32.6570833333333,16.9991666666666,11.377790363428485,17.7991666666666
chokanon(kuching),SP1,302.393333333333,117.880833333333,73.5320833333333,62.5558333333333,24.6116666666666,95.96,31.915,15.5917391304347,14.4228571428571,57.9438095238095,27.4171428571428,13.4595238095238,12.286584952935618,20.2291666666666
kensington,SP1,498.633428571428,108.588571428571,90.8008571428571,83.4745714285714,42.946,80.8342857142857,44.8617142857142,22.2977142857142,24.2445714285714,57.9508571428571,29.48,16.0317142857142,11.610707133875753,15.3982857142857
carrie,SP1 ,336.995652173913,105.31304347826,80.285652173913,70.4604347826086,26.2173913043478,81.2760869565217,38.2473913043478,18.8469565217391,18.1739130434782,57.951304347826,28.8673913043478,15.65,12.853897180762864,16.4954545454545
zm-10,SP1 ,465.568571428571,107.655714285714,87.2292857142857,74.8871428571428,53.9278571428571,72.3964285714285,42.7149999999999,25.025,24.8530769230769,57.9930769230769,33.8941666666666,18.6592307692307,8.633173949323831,19.2
shwehintha,SP1 ,325.725833333333,127.522222222222,71.0022222222222,64.1094444444444,23.2633333333333,106.86,30.6130555555555,15.4727777777777,13.5661111111111,58.0055555555555,23.7758333333333,12.6063888888888,14.001683622295465,17.8388888888888
